track_id;track_name;duration_ms;album_name;album_type;artist_name;track_popularity;explicit;artist_genres;album_genres;acousticness;danceability;energy;instrumentalness;key;liveness;loudness;mode;speechness;tempo;time_signature;valence;played_at;date;datetime
1bVhldfIWE7ye4pHi1pzhY;M.M.M.;142187;Musica da giostra, Vol. 5;album;DJ Matrix;40;FALSE;italian hip hop, italian pop;;0.638000;0.714;0.937;0.037100;8;0.2010;-4.54;0;0.1630;135.017;4;0.646;2018-06-28T05:10:55.174Z;28/06/18;05:10:55
0ptaq4BSl6jrXfGyLzJjYE;Italiana;174173;Italiana;single;J-AX;79;FALSE;;;0.03020000;0.68600000;0.74400000;0.00000000;5;0.04860000;-7.122;0;0.11100000;121.839;4;0.63700000;2018-05-30T05:12:00.073Z;30/05/18;05:12:00
7AujiK4ndTotwFOaGEjvOu;Bene ma non benissimo;193242;Bene ma non benissimo;single;Shade;65;TRUE;italian arena pop, italian hip hop;;0.090000;0.841;0.949;0.000000;7;0.0879;-2.275;0;0.2090;127.968;4;0.894;2018-06-28T05:13:16.392Z;28/06/18;05:13:16
7hH6PsrlKQdNlvESUYKz79;Linda;199378;Linda;single;Emis Killa;65;FALSE;;;0.00404000;0.61100000;0.77100000;0.00000000;10;0.15500000;-7.485;0;0.11800000;92.959;4;0.36600000;2018-05-30T05:14:53.183Z;30/05/18;05:14:53
2Cm9pUNjLYpLo2gjIiTBPa;Serio (feat. Capo Plaza);218769;Serio;single;Emis Killa;71;FALSE;italian hip hop;;0.184000;0.721;0.651;0.000000;11;0.0722;-5.665;0;0.0871;129.904;4;0.537;2018-06-28T05:16:30.566Z;28/06/18;05:16:30
6Un3dTa1Ok4or8A0PR962k;La Passion;211320;00's Dance Top 65;compilation;Gigi D'Agostino;56;FALSE;eurodance, europop, italo dance;;0.305000;0.856;0.761;0.000000;6;0.0694;-8.087;1;0.0377;125.021;4;0.823;2018-07-05T05:18:08.295Z;05/07/18;05:18:08
4ykkHvzEE45AlcUq6vkVW6;D'improvviso;209400;Zero Gravity;album;Lorenzo Fragola;58;FALSE;;;0.65300000;0.58700000;0.61600000;0.00000000;8;0.09760000;-6.578;1;0.03880000;129.769;4;0.32600000;2018-05-30T05:18:57.048Z;30/05/18;05:18:57
4mOZ5v5YngHkjX8tJEydI1;Cresciuti con la Dance;120187;Musica da giostra, Vol. 5;album;DJ Matrix;40;FALSE;italian hip hop, italian pop;;0.039800;0.653;0.965;0.000078;7;0.3060;-5.723;0;0.0399;140.005;4;0.903;2018-07-05T05:19:23.632Z;05/07/18;05:19:23
3dz3R9jDrvHldvfnSSTz3p;Dress Code;192240;Dress Code;single;Il Pagante;57;TRUE;italian arena pop, italian hip hop;;0.023200;0.859;0.778;0.000001;8;0.5100;-4.897;1;0.0649;124.99;4;0.443;2018-06-28T05:20:09.718Z;28/06/18;05:20:09
6q1qACcezH6eH77Xljh5QV;I Need A Dollar;243053;Good Things;album;Aloe Blacc;67;FALSE;;;0.20200000;0.84000000;0.48200000;0.00000000;6;0.08730000;-7.116;0;0.03330000;95.498;4;0.95700000;2018-05-30T05:20:12.585Z;30/05/18;05:20:12
4PqM2tHGLKSJ5QARlKHGIm;Supereroi;210587;Musica da giostra, Vol. 5;album;DJ Matrix;49;FALSE;italian hip hop, italian pop;;0.007760;0.671;0.937;0.000000;3;0.0668;-1.732;1;0.0362;128.041;4;0.532;2018-06-25T05:20:23.921Z;25/06/18;05:20:23
4mOZ5v5YngHkjX8tJEydI1;Cresciuti con la Dance;120187;Musica da giostra, Vol. 5;album;DJ Matrix;40;FALSE;italian hip hop, italian pop;;0.039800;0.653;0.965;0.000078;7;0.3060;-5.723;0;0.0399;140.005;4;0.903;2018-07-05T05:20:31.340Z;05/07/18;05:20:31
17Iwkwaoz6bwFfvxqDHvo7;Invisibile;180467;Musica da giostra, Vol. 5;album;DJ Matrix;38;FALSE;italian hip hop, italian pop;;0.031800;0.627;0.877;0.000002;7;0.0903;-3.152;0;0.0434;95.014;4;0.758;2018-07-05T05:21:41.518Z;05/07/18;05:21:41
7stjNSqm4nBsqWBjmH2JCU;Happy Hour;226307;Musica da giostra, Vol. 5;album;DJ Matrix;38;FALSE;italian hip hop, italian pop;;0.000550;0.552;0.964;0.000333;9;0.2740;-4.272;1;0.0721;139.985;4;0.762;2018-06-25T05:22:30.767Z;25/06/18;05:22:30
1EzrEOXmMH3G43AXT1y7pA;I'm Yours;242187;We Sing. We Dance. We Steal Things.;album;Jason Mraz;85;FALSE;;;0.59500000;0.68600000;0.45700000;0.00000000;11;0.10500000;-8.322;1;0.04680000;150.953;4;0.71800000;2018-05-30T05:22:45.758Z;30/05/18;05:22:45
6piirH61jEroydbQSLtopl;Per Sempre (feat. Giulia Jean);204375;Per Sempre (feat. Giulia Jean);single;GionnyScandal;62;FALSE;italian arena pop, italian hip hop;;0.029200;0.524;0.707;0.000000;8;0.1170;-4.614;1;0.0611;79.866;4;0.278;2018-06-28T05:23:22.414Z;28/06/18;05:23:22
6mEHlvcPMYxgdlBsZOV4XR;Pim Pao;227200;Musica da giostra, Vol. 5;album;Street Housers;38;FALSE;;;0.006300;0.549;0.974;0.845000;10;0.0462;-2.479;0;0.0880;127.995;4;0.525;2018-06-25T05:24:13.731Z;25/06/18;05:24:13
3THkkvr0o6pb8l83gxFYX4;Camilla;163107;Musica da giostra, Vol. 4;album;DJ Matrix;47;FALSE;italian hip hop, italian pop;;0.063300;0.879;0.941;0.000000;5;0.3550;-4.91;1;0.3520;104.968;4;0.557;2018-07-05T05:24:42.440Z;05/07/18;05:24:42
7hRM2EHbeVZl4fPSK2XxOO;Bye Bye;176400;Bye Bye;album;Annalisa;70;FALSE;italian arena pop, italian pop;;0.011500;0.640;0.580;0.000000;9;0.0938;-6.211;0;0.0357;123.04;4;0.192;2018-07-09T05:25:05.020Z;09/07/18;05:25:05
